Issue,Column(s)/Row(s),Example(s),Cleaning Recommendation
Rare Categories,brand,"Examples: [""Abarth"", ""Lexus"", ""Maserati""] (frequencies: {""Abarth"": 0.008368200836820083, ""Lexus"": 0.006276150627615063, ""Maserati"": 0.006276150627615063})",Investigate rare categories in brand for potential typos or grouping opportunities.
Singleton Categories,brand,"Examples: [""KGM"", ""Elaris"", ""Cadillac""]",Investigate singleton categories in brand for potential typos or grouping opportunities.
Mixed Data Types,model,"Types present: {""<class 'str'>"": 477, ""<class 'float'>"": 1}","Ensure all values in model are of a consistent type (e.g., string). Handle NaN values appropriately."
Rare Categories,model,"Examples: [""500e Convertible"", ""500e Hatchback"", ""600e Scorpionissima""] (frequencies: {""500e Convertible"": 0.0020964360587002098, ""500e Hatchback"": 0.0020964360587002098, ""600e Scorpionissima"": 0.0020964360587002098})",Investigate rare categories in model for potential typos or grouping opportunities.
Singleton Categories,model,"Examples: [""500e Convertible"", ""500e Hatchback"", ""600e Scorpionissima""]",Investigate singleton categories in model for potential typos or grouping opportunities.
Mixed Data Types,fast_charge_port,"Types present: {""<class 'str'>"": 477, ""<class 'float'>"": 1}","Ensure all values in fast_charge_port are of a consistent type (e.g., string). Handle NaN values appropriately."
Rare Categories,fast_charge_port,"Examples: [""CHAdeMO""] (frequencies: {""CHAdeMO"": 0.0020964360587002098})",Investigate rare categories in fast_charge_port for potential typos or grouping opportunities.
Singleton Categories,fast_charge_port,"Examples: [""CHAdeMO""]",Investigate singleton categories in fast_charge_port for potential typos or grouping opportunities.
Mixed Data Types,cargo_volume_l,"Types present: {""<class 'str'>"": 477, ""<class 'float'>"": 1}","Ensure all values in cargo_volume_l are of a consistent type (e.g., string). Handle NaN values appropriately."
Rare Categories,cargo_volume_l,"Examples: [""594"", ""526"", ""511""] (frequencies: {""594"": 0.008385744234800839, ""526"": 0.008385744234800839, ""511"": 0.008385744234800839})",Investigate rare categories in cargo_volume_l for potential typos or grouping opportunities.
Singleton Categories,cargo_volume_l,"Examples: [""496"", ""10 Banana Boxes"", ""472""]",Investigate singleton categories in cargo_volume_l for potential typos or grouping opportunities.
Rare Categories,segment,"Examples: [""A - Mini"", ""JA - Mini"", ""G - Sports""] (frequencies: {""A - Mini"": 0.006276150627615063, ""JA - Mini"": 0.0041841004184100415, ""G - Sports"": 0.0041841004184100415})",Investigate rare categories in segment for potential typos or grouping opportunities.
Singleton Categories,segment,"Examples: [""I - Luxury""]",Investigate singleton categories in segment for potential typos or grouping opportunities.
Rare Categories,car_body_type,"Examples: [""Coupe""] (frequencies: {""Coupe"": 0.0041841004184100415})",Investigate rare categories in car_body_type for potential typos or grouping opportunities.
Rare Categories,source_url,"Examples: [""https://ev-database.org/car/1904/Abarth-500e-Convertible"", ""https://ev-database.org/car/1903/Abarth-500e-Hatchback"", ""https://ev-database.org/car/3057/Abarth-600e-Scorpionissima""] (frequencies: {""https://ev-database.org/car/1904/Abarth-500e-Convertible"": 0.0020920502092050207, ""https://ev-database.org/car/1903/Abarth-500e-Hatchback"": 0.0020920502092050207, ""https://ev-database.org/car/3057/Abarth-600e-Scorpionissima"": 0.0020920502092050207})",Investigate rare categories in source_url for potential typos or grouping opportunities.
Singleton Categories,source_url,"Examples: [""https://ev-database.org/car/1904/Abarth-500e-Convertible"", ""https://ev-database.org/car/1903/Abarth-500e-Hatchback"", ""https://ev-database.org/car/3057/Abarth-600e-Scorpionissima""]",Investigate singleton categories in source_url for potential typos or grouping opportunities.
Non-numeric strings in numeric-intended column,cargo_volume_l,"Examples: [""10 Banana Boxes"", ""31 Banana Boxes"", ""13 Banana Boxes""]",Extract numeric values from cargo_volume_l and convert to numeric type. Handle non-numeric entries appropriately.
Constant Column,battery_type,Only one unique value: Lithium-ion,Consider dropping battery_type as it provides no discriminatory information.
