Issue,Column(s)/Row(s),Example(s),Cleaning Recommendation
Data Type Mismatch / Non-numeric values,cargo_volume_l,"Examples: [""10 Banana Boxes"", ""31 Banana Boxes"", ""13 Banana Boxes""]",Convert to numeric by extracting digits. Handle non-numeric strings like '10 Banana Boxes' by mapping or setting to NaN. Then impute missing values.
Outliers (IQR Method),top_speed_kmh,"Count: 6, Examples: [270, 290, 325]","Investigate values outside [98.50, 262.50]. Consider capping, transformation, or removal based on domain knowledge."
Outliers (Z-score Method),top_speed_kmh,"Count: 4, Examples: [290, 325, 305]","Investigate values with Z-score > 3 or < -3. Consider capping, transformation, or removal based on domain knowledge."
Missing Values,number_of_cells,"Count: 202, Percentage: 42.26%","Impute missing values using appropriate strategy (e.g., mean, median, mode, or model-based imputation)."
Outliers (IQR Method),number_of_cells,"Count: 12, Examples: [6600.0, 5400.0, 4416.0]","Investigate values outside [-111.00, 585.00]. Consider capping, transformation, or removal based on domain knowledge."
Outliers (Z-score Method),number_of_cells,"Count: 12, Examples: [6600.0, 5400.0, 4416.0]","Investigate values with Z-score > 3 or < -3. Consider capping, transformation, or removal based on domain knowledge."
Missing Values,torque_nm,"Count: 7, Percentage: 1.46%","Impute missing values using appropriate strategy (e.g., mean, median, mode, or model-based imputation)."
Outliers (IQR Method),torque_nm,"Count: 4, Examples: [1350.0, 1340.0]","Investigate values outside [-256.00, 1240.00]. Consider capping, transformation, or removal based on domain knowledge."
Outliers (Z-score Method),torque_nm,"Count: 4, Examples: [1350.0, 1340.0]","Investigate values with Z-score > 3 or < -3. Consider capping, transformation, or removal based on domain knowledge."
Outliers (IQR Method),efficiency_wh_per_km,"Count: 14, Examples: [370, 266, 242]","Investigate values outside [90.88, 229.88]. Consider capping, transformation, or removal based on domain knowledge."
Outliers (Z-score Method),efficiency_wh_per_km,"Count: 9, Examples: [370, 266, 282]","Investigate values with Z-score > 3 or < -3. Consider capping, transformation, or removal based on domain knowledge."
Outliers (IQR Method),acceleration_0_100_s,"Count: 19, Examples: [13.3, 14.2, 19.1]","Investigate values outside [-0.30, 13.30]. Consider capping, transformation, or removal based on domain knowledge."
Outliers (Z-score Method),acceleration_0_100_s,"Count: 1, Examples: [19.1]","Investigate values with Z-score > 3 or < -3. Consider capping, transformation, or removal based on domain knowledge."
Missing Values,fast_charging_power_kw_dc,"Count: 1, Percentage: 0.21%","Impute missing values using appropriate strategy (e.g., mean, median, mode, or model-based imputation)."
Outliers (IQR Method),fast_charging_power_kw_dc,"Count: 26, Examples: [281.0, 259.0, 260.0]","Investigate values outside [-25.00, 255.00]. Consider capping, transformation, or removal based on domain knowledge."
Missing Values,towing_capacity_kg,"Count: 26, Percentage: 5.44%","Impute missing values using appropriate strategy (e.g., mean, median, mode, or model-based imputation)."
Outliers (IQR Method),seats,"Count: 95, Examples: [4, 7, 9]","Investigate values outside [5.00, 5.00]. Consider capping, transformation, or removal based on domain knowledge."
Outliers (Z-score Method),seats,"Count: 18, Examples: [9, 2]","Investigate values with Z-score > 3 or < -3. Consider capping, transformation, or removal based on domain knowledge."
Outliers (IQR Method),length_mm,"Count: 9, Examples: [3631, 5908, 3620]","Investigate values outside [3658.50, 5742.50]. Consider capping, transformation, or removal based on domain knowledge."
Outliers (Z-score Method),length_mm,"Count: 2, Examples: [5908]","Investigate values with Z-score > 3 or < -3. Consider capping, transformation, or removal based on domain knowledge."
Outliers (IQR Method),width_mm,"Count: 14, Examples: [1683, 1622, 1610]","Investigate values outside [1714.00, 2074.00]. Consider capping, transformation, or removal based on domain knowledge."
Outliers (Z-score Method),width_mm,"Count: 5, Examples: [1622, 1610, 1652]","Investigate values with Z-score > 3 or < -3. Consider capping, transformation, or removal based on domain knowledge."
Outliers (IQR Method),height_mm,"Count: 14, Examples: [1959, 1911, 1910]","Investigate values outside [1287.50, 1891.50]. Consider capping, transformation, or removal based on domain knowledge."
Missing Values,cargo_volume_l_numeric,"Count: 4, Percentage: 0.84%","Impute missing values using appropriate strategy (e.g., mean, median, mode, or model-based imputation)."
Outliers (IQR Method),cargo_volume_l_numeric,"Count: 32, Examples: [793.0, 1050.0, 989.0]","Investigate values outside [145.75, 783.75]. Consider capping, transformation, or removal based on domain knowledge."
Outliers (Z-score Method),cargo_volume_l_numeric,"Count: 8, Examples: [1410.0, 1390.0, 1340.0]","Investigate values with Z-score > 3 or < -3. Consider capping, transformation, or removal based on domain knowledge."
